ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw
-0.031125,-0.335188,10.204087,0.030377,0.057289,-0.019452
-0.081403,-0.289698,10.163386,0.029977,0.058888,-0.018119
-0.040701,-0.265756,10.232818,0.031309,0.057956,-0.017587
-0.026336,-0.275333,10.199299,0.031176,0.055957,-0.018119
-0.038307,-0.248997,10.196905,0.031443,0.057156,-0.018386
0.004788,-0.284910,10.232818,0.032109,0.056757,-0.017853
-0.016759,-0.227449,10.201694,0.032109,0.056090,-0.018519
0.124498,-0.270545,10.144233,0.032109,0.052626,-0.018386
0.052672,-0.328006,10.196905,0.031709,0.055557,-0.017853
0.019154,-0.265756,10.151415,0.031842,0.056357,-0.018519
0.007183,-0.296881,10.204087,0.031309,0.056890,-0.018919
0.038307,-0.258574,10.177752,0.030377,0.054758,-0.019585
-0.079009,-0.232238,10.144233,0.030910,0.058222,-0.018919
-0.026336,-0.253785,10.170568,0.031975,0.055691,-0.019585
-0.105345,-0.234632,10.223241,0.032908,0.058089,-0.019585
0.007183,-0.234632,10.168175,0.031842,0.053825,-0.018786
-0.031125,-0.277727,10.249578,0.030510,0.055691,-0.018519
-0.002394,-0.150835,10.103531,0.031709,0.053825,-0.019452
-0.038307,-0.330400,10.297462,0.029577,0.057556,-0.018919
0.131681,-0.323217,10.046070,0.031842,0.050628,-0.018519
-0.117316,-0.189142,10.218452,0.033175,0.059954,-0.017587
0.124498,-0.256180,10.216059,0.031309,0.050628,-0.018386
-0.011971,-0.289698,10.065224,0.032242,0.057689,-0.018786
-0.083797,-0.248997,10.328587,0.032375,0.059821,-0.019052
0.007183,-0.284910,10.151415,0.030110,0.053026,-0.020251
-0.074220,-0.237026,10.204087,0.031576,0.058622,-0.018519
-0.002394,-0.241814,10.216059,0.031043,0.055957,-0.018652
-0.014365,-0.229843,10.180145,0.030377,0.054891,-0.019319
0.019154,-0.287304,10.230424,0.031576,0.055824,-0.018652
0.014365,-0.272939,10.232818,0.031709,0.055824,-0.018652
-0.016759,-0.304064,10.170568,0.030510,0.056357,-0.018386
0.047884,-0.215478,10.137050,0.029711,0.055824,-0.018919
-0.028730,-0.268151,10.184934,0.031709,0.057556,-0.018253
0.002394,-0.260968,10.192117,0.031443,0.055025,-0.019319
-0.004788,-0.222661,10.182540,0.032109,0.054758,-0.019319
-0.064643,-0.241814,10.184934,0.032642,0.057689,-0.018652
0.026336,-0.268151,10.187328,0.032109,0.054358,-0.019319
-0.021548,-0.239420,10.180145,0.032242,0.056490,-0.018919
-0.014365,-0.251391,10.223241,0.032375,0.056623,-0.019718
0.040701,-0.277727,10.218452,0.030510,0.054358,-0.018786
-0.023942,-0.301669,10.194510,0.030510,0.055957,-0.018386
-0.023942,-0.265756,10.125079,0.031576,0.054891,-0.018519
0.021548,-0.244209,10.156203,0.031309,0.055957,-0.018519
-0.014365,-0.251391,10.115502,0.031842,0.055557,-0.017853
0.019154,-0.232238,10.199299,0.031842,0.055158,-0.017853
0.002394,-0.282516,10.213664,0.031176,0.056224,-0.018119
-0.040701,-0.287304,10.180145,0.031842,0.057289,-0.017853
0.035913,-0.275333,10.165780,0.033441,0.056623,-0.019718
0.031125,-0.277727,10.153810,0.031842,0.056090,-0.018519
0.016759,-0.296881,10.184934,0.032242,0.056357,-0.018652
-0.023942,-0.220267,10.206482,0.031176,0.056623,-0.019985
-0.035913,-0.313640,10.232818,0.031043,0.057822,-0.018119
-0.035913,-0.227449,10.240001,0.031975,0.057423,-0.018386
0.002394,-0.248997,10.275913,0.030510,0.056090,-0.018919
-0.028730,-0.260968,10.163386,0.029577,0.057556,-0.018519
0.047884,-0.287304,10.172963,0.031309,0.057689,-0.019052
-0.021548,-0.268151,10.204087,0.031309,0.055557,-0.019052
-0.016759,-0.299275,10.232818,0.031709,0.056757,-0.018919
0.021548,-0.258574,10.220847,0.031176,0.056757,-0.018786
-0.004788,-0.275333,10.235212,0.032908,0.057023,-0.020251
-0.038307,-0.268151,10.189722,0.031975,0.057689,-0.020118
0.014365,-0.265756,10.247183,0.030910,0.055957,-0.019319
-0.023942,-0.294487,10.187328,0.031842,0.056224,-0.019052
-0.016759,-0.294487,10.213664,0.031043,0.057156,-0.018786
-0.002394,-0.292093,10.122684,0.030643,0.054758,-0.019185
0.023942,-0.275333,10.206482,0.031709,0.056224,-0.019452
0.007183,-0.258574,10.261548,0.032242,0.055424,-0.019452
0.023942,-0.323217,10.153810,0.031842,0.054492,-0.019452
-0.038307,-0.260968,10.165780,0.030377,0.056757,-0.018919
-0.007183,-0.260968,10.242394,0.030510,0.055824,-0.019052
-0.002394,-0.248997,10.098742,0.031043,0.056357,-0.018386
0.016759,-0.248997,10.163386,0.031576,0.057556,-0.018386
-0.016759,-0.244209,10.201694,0.031443,0.054625,-0.018253
-0.016759,-0.282516,10.196905,0.030643,0.053692,-0.017986
-0.045490,-0.251391,10.273520,0.031842,0.055424,-0.018652
-0.023942,-0.241814,10.182540,0.031576,0.055691,-0.018919
0.023942,-0.296881,10.187328,0.030910,0.056623,-0.017720
-0.007183,-0.268151,10.175357,0.031176,0.056357,-0.018386
-0.035913,-0.270545,10.160992,0.031576,0.056757,-0.018253
-0.069432,-0.275333,10.287885,0.030910,0.056623,-0.019052
-0.019154,-0.191536,10.163386,0.031176,0.057289,-0.019718
0.011971,-0.289698,10.132261,0.032375,0.056757,-0.018919
0.052672,-0.270545,10.196905,0.032908,0.056623,-0.018519
-0.004788,-0.311246,10.228029,0.031975,0.055957,-0.017986
-0.038307,-0.227449,10.220847,0.030643,0.055824,-0.017587
0.000000,-0.246603,10.302250,0.031043,0.057156,-0.017853
